GROUP ID;TREATMENT;GROUP SIZE;CORAL SPECIES;CORAL SIZE ;TOT. AGGRESSIVE B.;TOT AGGR. BY HET;TOT. AGGRESS. HET;C;CHET;AD;ADHET;B;BHET;R;RHET;TOT. SOCIAL B.;SJ;FO;FR;M;ST;HA;TOT. MAINTENANCE B.;FWC;FB;FC;SH;P;SJ;SC;DA;RT;Y;FR;DK;TOT. REPRODUCTIVE B.;SJ;LS/FS;FA;MO;NP;NC;SCR;PS;TOT SUBMISSIVE B;SD;FL;H;HD
16;B1;4;Stylophora pistillata;1089;6;0;6;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;428;327;5;41;5;3;0;1;14;30;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;B2 ;5;Stylophora pistillata;1089;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;790;739;0;1;0;5;0;1;36;2;1;0;5;0;0;0;0;0;0;0;0;0;3;0;0;1;2
17;B1;3;Seriatopora Calienrum;892;15;1;4;11;2;0;2;0;0;0;0;0;0;0;0;0;0;0;815;746;0;1;0;2;0;1;51;12;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0
17;B2 ;3;Seriatopora Calienrum;892;16;3;2;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;597;549;1;2;0;3;0;0;36;2;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0
18;B1;5;Seriatopora Calienrum;561;21;1;6;15;1;0;5;0;0;0;0;20;17;2;1;0;0;0;986;794;0;17;1;12;17;2;113;24;3;1;2;19;17;0;0;0;0;0;2;0;2;0;0;2;0
18;B2 ;5;Seriatopora Calienrum;561;39;0;8;25;0;6;8;0;0;0;0;3;1;2;0;0;0;0;958;822;21;10;0;5;1;3;92;2;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0
20;B1;4;Stylophora pistillata;581;9;0;3;6;3;0;0;0;0;0;0;2;2;0;0;0;0;0;814;738;3;13;0;7;2;0;35;15;1;0;0;42;2;0;0;35;5;0;0;0;1;0;0;1;0
20;B2 ;4;Stylophora pistillata;581;13;2;7;6;5;0;2;0;0;0;0;1;1;0;0;0;0;0;794;703;1;10;0;15;1;3;47;11;3;0;0;75;1;0;1;36;36;0;1;0;4;0;2;2;0
22;B1;3;Acropora secale;1462;10;1;0;9;0;1;0;0;0;0;0;1;0;0;1;0;0;0;791;682;0;6;0;18;0;0;82;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
22;B2 ;3;Acropora secale;1462;4;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;720;642;0;4;0;11;0;0;59;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;B1;7;Seriatopora Calienrum;1924;15;0;7;7;7;1;0;0;0;0;0;2;1;0;1;0;0;0;1243;990;2;65;3;14;1;2;113;51;1;1;0;54;1;0;1;12;7;33;0;0;0;0;0;0;0
23;B2 ;7;Seriatopora Calienrum;1924;35;0;13;19;10;3;3;0;0;0;0;13;8;5;0;0;0;0;1335;1024;2;66;0;13;8;8;172;41;1;0;0;85;8;0;6;21;4;45;1;0;3;0;0;2;1
24;B1;3;Stylophora pistillata;471;20;0;2;18;1;0;1;0;0;0;0;4;3;0;1;0;0;0;712;621;0;0;2;2;3;0;80;3;0;1;0;3;3;0;0;0;0;0;0;0;1;0;0;1;0
24;B2 ;3;Stylophora pistillata;471;14;0;3;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;704;543;2;2;1;5;0;0;141;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
